address,lat,lon,building_material,build_year,floor,total_floors,rooms,area_total,usd_price,is_old,condition_unfinished,series_group
"Бишкек, Бишкек-Парк",42.8751,74.5894,панельный,1992.0,1.0,4.0,2,52.0,102000,1,0,high
"Бишкек, Магистраль, Б. Баатыра/А. Токомбаева",42.8181,74.6031,монолитный,2021.0,4.0,12.0,2,66.0,101000,0,0,low
"Бишкек, Магистраль, Байтик Баатыра, 4Б",42.8181,74.605,монолитный,2023.0,6.0,12.0,2,77.46,98000,0,0,mid
"Бишкек, Ипподром, Л. Толстого 126",42.8641,74.558,монолитный,2025.0,8.0,17.0,2,76.0,74000,0,1,low
"Бишкек, Джал-23 м-н (Нижний Джал), Джал-23 мкр, 18",42.8412,74.5664,кирпичный,2025.0,3.0,14.0,1,41.0,65500,0,0,mid
"Бишкек, Молодая Гвардия, 35",42.8824,74.5767,панельный,1992.0,3.0,9.0,1,35.0,59000,1,0,mid
"Бишкек, Магистраль,  ул. Малдыбаева, 261",42.8231,74.5965,монолитный,2025.0,4.0,15.0,2,78.0,78000,0,1,low
"Бишкек, Магистраль",42.8181,74.6031,монолитный,2023.0,10.0,12.0,2,82.1,90310,0,1,low
"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот) 4б/7/Магистраль",42.8177,74.6056,монолитный,2022.0,3.0,14.0,3,80.0,163000,0,0,low
"Бишкек, Кок-Жар ж/м,  ул. 7 Апреля / Молдокулова",42.8353,74.6413,монолитный,2023.0,3.0,14.0,2,72.3,99500,0,1,low
"Бишкек, Средний Джал м-н",42.8377,74.5673,кирпичный,2022.0,4.0,9.0,1,52.0,76500,0,0,low
"Бишкек, АЮ Grand, Исакеева 18/18",42.8587,74.6813,монолитный,2019.0,9.0,9.0,2,70.0,88000,0,0,low
"Бишкек, АУЦА, С. Ортосай/Балык Кумара",42.8072,74.6115,кирпичный,2025.0,4.0,4.0,4,115.0,195500,0,1,low
"Бишкек, Старый аэропорт, пр. Чингиза Айтматова 96/1",42.8386,74.5827,монолитный,2018.0,6.0,10.0,4,173.0,495000,0,0,low
"Бишкек, Магистраль, Токомбаева-Сухэ-батора",42.8191,74.6129,монолитный,2024.0,12.0,18.0,4,156.0,249600,0,1,low
"Бишкек, Нижний Токольдош, Кийизбаева 33",42.8705,74.6294,монолитный,2022.0,11.0,12.0,2,73.5,104500,0,0,low
"Бишкек, Аламединский рынок",42.8873,74.6413,монолитный,2023.0,2.0,5.0,1,46.6,48000,0,1,low
"Бишкек, АУЦА",42.8072,74.6164,монолитный,2025.0,13.0,14.0,4,154.0,169500,0,1,low
"Бишкек, Ген прокуратура,  ул. Ташкумырская, 2/2",42.8406,74.5892,кирпичный,2025.0,11.0,13.0,1,47.4,78700,0,1,low
"Бишкек, Ак Эмир рынок, Московская 64/Шопокова",42.8689,74.6159,панельный,1992.0,9.0,9.0,3,64.0,98000,1,0,high
"Бишкек, Кок-Жар ж/м, Молдокулова, 100",42.8525,74.6419,панельный,2021.0,2.0,9.0,2,51.0,78000,0,0,high
"Бишкек, Московская - Уметалиева, Боконбаева/Калык Акиева",42.8677,74.5774,кирпичный,2020.0,9.0,14.0,3,108.0,125000,0,0,low
"Бишкек, Джальская больница, Островская 136а/Айни",42.8496,74.5755,кирпичный,2026.0,9.0,17.0,3,97.0,111550,0,1,low
"Бишкек, Магистраль, Байтик-Баатыра/А. Токомбаева",42.8192,74.6031,монолитный,2022.0,12.0,14.0,2,82.77,111740,0,1,low
"Бишкек, Магистраль, Сухэ Батора/Южная Магистраль",42.8217,74.6172,монолитный,2022.0,8.0,12.0,2,82.0,90200,0,1,low
"Бишкек, Магистраль, Сухэ Батора",42.8219,74.6172,кирпичный,2022.0,2.0,12.0,2,82.0,98500,0,1,low
"Бишкек, Молодая Гвардия, М. Сагынбая 290/К. Акиева",42.8745,74.577,монолитный,2021.0,9.0,9.0,1,42.0,69000,0,0,low
"Бишкек, Карла Маркса,  ул. Юнусалиева, пер.Карасаева",42.8551,74.624,монолитный,2025.0,8.0,15.0,2,53.4,80000,0,1,low
"Бишкек, Карла Маркса,  ул. Юнусалиева, пер.Карасаева",42.8551,74.624,монолитный,2025.0,12.0,15.0,3,98.0,132300,0,1,low
"Бишкек, Джальская больница, Тыналиева 2/21",42.845,74.5689,монолитный,2019.0,11.0,14.0,4,182.0,350000,0,0,low
"Бишкек, Магистраль,  ул. А. Малдыбаева 277 (пер. ул. А. Масалиева)",42.825,74.5974,монолитный,2025.0,6.0,20.0,3,110.6,132609,0,1,low
"Бишкек, Магистраль, Куттубаева/Южная Магистраль",42.8163,74.6224,монолитный,2022.0,14.0,14.0,3,100.13,74000,0,1,low
"Бишкек, Ак Эмир рынок, Жоомарта Боконбаева, 61",42.8668,74.6138,кирпичный,1983.0,2.0,5.0,4,136.0,195000,1,0,mid
"Бишкек, Ак-Орго ж/м",42.8448,74.5197,кирпичный,2022.0,3.0,10.0,1,40.0,57500,0,0,low
"Бишкек, Молодая Гвардия/Боконбаева",42.8694,74.5732,панельный,1992.0,5.0,5.0,3,59.0,82000,1,0,mid
"Бишкек, Аламедин-1 м-н 64",42.8779,74.6892,панельный,1992.0,4.0,5.0,2,50.0,72000,1,0,low
"Бишкек, АЮ Grand, Исакеева 2",42.8587,74.6817,монолитный,2023.0,1.0,8.0,2,74.0,85000,0,0,low
"Бишкек, КНУ, Профессора Зимы, 32",42.8876,74.5899,монолитный,2015.0,2.0,3.0,1,24.2,38200,0,0,mid
"Бишкек, Арча-Бешик ж/м",42.8276,74.5631,кирпичный,2022.0,1.0,3.0,3,77.0,94500,0,0,mid
"Бишкек, Кок-Жар ж/м,  ул. 7 Апреля / Молдокулова",42.8353,74.6413,монолитный,2023.0,8.0,14.0,1,48.3,87000,0,0,low
"Бишкек, Магистраль, Б. Баатыра / А. Токомбаева",42.8181,74.6031,монолитный,2024.0,7.0,12.0,1,42.0,67500,0,0,low
"Бишкек, Тунгуч м-н, микрорайон Тунгуч, 36",42.8546,74.6865,панельный,1990.0,5.0,5.0,3,70.0,82000,1,0,high
"Бишкек, Магистраль, Аалы Токомбаева 15/7 2 блок/Южн. Магистраль",42.8118,74.6217,кирпичный,2024.0,4.0,10.0,2,53.0,85000,0,0,low
"Бишкек, Кок-Жар ж/м, Молдокулова/Медерова",42.8517,74.6416,панельный,2021.0,8.0,9.0,1,50.0,73000,0,0,low
"Бишкек, 3 м-н, Ахунбаева/Алматинка",42.8402,74.6162,кирпичный,2022.0,4.0,9.0,2,44.0,75000,0,0,low
"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",42.8172,74.6058,монолитный,2022.0,2.0,9.0,3,80.0,167000,0,0,low
"Бишкек, АЮ Grand, мкр. Тунгуч",42.8541,74.6777,монолитный,2023.0,12.0,13.0,1,48.0,50000,0,1,low
"Бишкек, Горького - Алма-Атинская,  ул. 7 Апреля (Алматинка/Горького)",42.8581,74.6338,монолитный,2025.0,12.0,14.0,2,67.0,60000,0,1,low
"Бишкек, Магистраль,  ул. Куттубаева, 15",42.8138,74.6191,монолитный,2023.0,3.0,12.0,2,64.0,110000,0,0,low
"Бишкек, Магистраль",42.8136,74.6266,кирпичный,2022.0,4.0,10.0,2,57.0,98000,0,0,low
"Бишкек, Ала-Арча ж/м, Сухэ батора/Юж. Магистраль",42.8085,74.5992,монолитный,2025.0,13.0,14.0,2,87.0,95800,0,1,mid
"Бишкек, Магистраль, Асанбай, Сухэ-Батора",42.8189,74.6133,монолитный,2022.0,11.0,16.0,3,105.0,230000,0,0,low
"Бишкек, с. Кок-Джар",42.8072,74.6585,кирпичный,2022.0,2.0,2.0,6,211.0,240000,0,0,mid
"Бишкек, с. Кок-Джар, мкр. Кок Жар",42.8206,74.649,монолитный,2023.0,12.0,14.0,2,62.0,89000,0,0,low
"Бишкек, Аламедин-1 м-н",42.8766,74.688,панельный,1992.0,5.0,5.0,5,88.0,125000,1,0,high
"Бишкек, Тунгуч м-н",42.8538,74.6882,панельный,1992.0,2.0,9.0,1,35.0,55500,1,0,high
"Бишкек, VEFA, Байтик-Баатыра 37",42.8552,74.6107,монолитный,2016.0,3.0,15.0,2,103.0,133000,0,0,low
"Бишкек, Магистраль, Токомбаева-Сухэ-батора",42.8191,74.6129,монолитный,2024.0,6.0,18.0,2,86.0,127280,0,1,low
"Бишкек, Карагачевая роща",42.9007,74.6273,монолитный,2020.0,1.0,5.0,2,55.0,65000,0,0,low
"Бишкек, Магистраль, Жукеева-Пудовкина/Аалы Токомбаева",42.8239,74.612,монолитный,2026.0,5.0,16.0,3,87.0,130500,0,1,low
"Бишкек, Кок-Жар ж/м, Шабдан-Баатыра и Чар.",42.8508,74.6356,монолитный,2024.0,8.0,13.0,1,46.0,57000,0,1,low
"Бишкек, Магистраль, Куттубаева/Южн. Магистраль",42.8113,74.6221,монолитный,2023.0,8.0,10.0,1,42.0,65000,0,0,low
"Бишкек, Политех, Ажыбек Баатыра, 10",42.841,74.5823,кирпичный,2019.0,8.0,12.0,2,54.8,130000,0,0,mid
"Бишкек, Военторг, Манасчы Сагынбая 168",42.8716,74.5945,кирпичный,2025.0,15.0,16.0,2,72.0,93600,0,1,low
"Бишкек, Магистраль, Куттубаева/Южная Магистраль",42.8161,74.6228,монолитный,2022.0,14.0,15.0,1,37.0,47000,0,1,low
"Бишкек, Джал-29 м-н, Садырбаева 258а",42.8306,74.5657,монолитный,2023.0,9.0,12.0,3,62.0,86500,0,1,low
"Бишкек, Московская - Уметалиева",42.8698,74.5839,кирпичный,2022.0,4.0,5.0,3,77.0,91000,0,0,mid
"Бишкек, с. Пригородное, юбилейная",42.9023,74.5507,панельный,1992.0,1.0,3.0,3,58.0,49800,1,0,high
"Бишкек, с. Кок-Джар, мкр. Кок Жар",42.8206,74.649,монолитный,2023.0,10.0,14.0,2,46.0,67000,0,0,low
"Бишкек, Аламедин-1 м-н",42.877,74.6856,монолитный,2023.0,1.0,9.0,5,100.0,138000,0,0,high
"Бишкек, Горького - Алма-Атинская, 7 апреля 1/1/Горького",42.8585,74.6315,кирпичный,2025.0,10.0,10.0,1,48.59,55200,0,1,low
"Бишкек, Филармония, Киевская/Манаса",42.8764,74.5883,кирпичный,1980.0,3.0,5.0,2,46.0,80000,1,0,mid
"Бишкек, Московская - Уметалиева, Чокморова, 219",42.8695,74.5784,панельный,1975.0,3.0,5.0,3,58.0,94500,1,0,high
"Бишкек, 12 м-н",42.8137,74.6366,панельный,1990.0,1.0,5.0,2,48.0,75500,1,0,high
"Бишкек, Горького - Алма-Атинская,  ул. 7 Апреля (Алматинка/Горького)",42.8581,74.6338,монолитный,2025.0,11.0,14.0,1,49.0,55000,0,1,low
"Бишкек, VEFA, Кулатова/Элебаева",42.8592,74.6134,монолитный,2022.0,13.0,13.0,2,65.0,120000,0,0,low
"Бишкек, Ипподром, Термечикова/Л.Толстого",42.8649,74.5548,кирпичный,2022.0,2.0,5.0,2,51.0,58000,0,0,mid
"Бишкек, Карпинка",42.8732,74.6241,кирпичный,2022.0,4.0,12.0,1,45.0,62000,0,1,low
"Бишкек, Магистраль, просп. Айтматова / ул. Масалиева",42.8191,74.5857,монолитный,2021.0,10.0,14.0,4,181.0,280550,0,1,low
"Бишкек, Московская - Белинка, Керимбекова, 13",42.8671,74.5903,кирпичный,2013.0,10.0,11.0,3,204.0,270000,0,0,mid
"Бишкек, Магистраль, Магистраль/Сухэ Батора",42.8228,74.6152,монолитный,2022.0,2.0,16.0,2,67.0,116000,0,0,low
"Бишкек, Горького - Алма-Атинская, Горького",42.8568,74.6308,кирпичный,2024.0,10.0,14.0,2,81.0,78975,0,1,low
"Бишкек, Верхний Джал м-н, Тыналиева",42.8351,74.5681,панельный,1998.0,7.0,9.0,4,106.0,127000,1,0,mid
"Бишкек, Золотой квадрат, Панфилова-Московская 165/Московская",42.8689,74.6011,монолитный,2024.0,9.0,10.0,2,74.0,122500,0,1,low
"Бишкек, Джальская больница,  ул.Айни 73а",42.8487,74.574,монолитный,2025.0,7.0,12.0,3,119.0,124950,0,1,low
"Бишкек, Ак-Орго ж/м, Таттыбубу Турсунбаева 2а",42.8451,74.5207,монолитный,2026.0,5.0,10.0,1,40.78,40780,0,1,low
"Бишкек, Октябрьский район, Саякбая Каралаева, 40",42.8295,74.6329,кирпичный,2017.0,7.0,12.0,2,64.0,109000,0,0,mid
"Бишкек, 12 м-н",42.8155,74.6346,кирпичный,2022.0,9.0,13.0,3,111.0,195000,0,0,low
"Бишкек, Магистраль, Ч. Айтматова/Масалиева",42.8246,74.5909,монолитный,2023.0,4.0,9.0,1,48.0,80000,0,0,low
"Бишкек, 5 м-н, 5 мкр",42.8286,74.6239,кирпичный,2022.0,1.0,5.0,3,58.0,98500,0,0,high
"Бишкек, Магистраль, Ч. Айтматова/Масалиева",42.8249,74.591,монолитный,2022.0,1.0,9.0,1,48.0,76500,0,0,low
"Бишкек, 11 м-н",42.8183,74.6317,кирпичный,2022.0,1.0,4.0,1,35.0,67000,0,0,high
"Бишкек, Московская - Уметалиева, Уметалиева 91/Киевская",42.8751,74.5817,кирпичный,2022.0,14.0,14.0,2,63.0,105000,0,0,low
"Бишкек, Восток-5 м-н, Чынара",42.8722,74.6313,кирпичный,2022.0,9.0,17.0,3,116.0,115000,0,1,low
"Бишкек, Ак Кеме, Чынгыза Айтматова пр-т, 93",42.836,74.585,кирпичный,2015.0,6.0,14.0,3,106.4,250000,0,0,mid
"Бишкек, Мед. академия, Абая 58/4",42.8446,74.6034,кирпичный,2022.0,9.0,12.0,2,56.0,95000,0,0,low
"Бишкек, Магистраль, Асанбай, Сухэ-Батора",42.8183,74.6125,монолитный,2022.0,12.0,16.0,3,104.24,209000,0,0,low
"Бишкек, Ипподром, Л. Толстого 126",42.8641,74.558,кирпичный,2025.0,11.0,17.0,3,96.0,88320,0,1,low
"Бишкек, 8 м-н",42.8286,74.6081,монолитный,2023.0,4.0,5.0,2,65.0,97000,0,0,mid
"Бишкек, Магистраль,  ул. Куттубаева, 15",42.8138,74.6191,монолитный,2023.0,6.0,12.0,1,41.16,72500,0,0,low
"Бишкек, Старый аэропорт, Ажыбек Баатыра, 3",42.8404,74.58,кирпичный,2018.0,7.0,10.0,2,68.0,118000,0,0,mid
"Бишкек, Цирк/Дворец бракосочетания",42.8825,74.6108,кирпичный,2022.0,7.0,7.0,5,125.0,215000,0,0,mid
"Бишкек, Центральная мечеть, гоголя московская",42.8662,74.6208,кирпичный,1970.0,4.0,5.0,2,48.0,81500,1,0,high
"Бишкек, Мед. академия, Ахунбаева 96а",42.8424,74.6033,кирпичный,2022.0,1.0,5.0,2,42.0,63500,0,0,high
"Бишкек, Горького - Алма-Атинская, Горького/Алматинка",42.8568,74.6308,монолитный,2024.0,13.0,14.0,2,82.0,64000,0,1,low
"Бишкек, Тунгуч м-н",42.8541,74.6847,панельный,1992.0,5.0,9.0,3,62.0,83500,1,0,high
"Бишкек, Магистраль, с. Орто-Сай, контур 13",42.8134,74.599,монолитный,2027.0,2.0,9.0,3,131.15,200000,0,1,low
"Бишкек, Кудайберген, волковой",42.8784,74.5174,кирпичный,1969.0,1.0,2.0,2,43.0,51500,1,0,high
"Бишкек, Магистраль, Куттубаева/Южная Магистраль",42.8161,74.6228,монолитный,2022.0,10.0,12.0,2,64.0,105000,0,0,low
"Бишкек, Ынтымак ж/м,  ул. Азия 12",42.8114,74.5719,кирпичный,2026.0,4.0,6.0,2,83.0,111105,0,1,low
"Бишкек, Чуй - Алматинка",42.8755,74.6329,панельный,1992.0,3.0,5.0,3,58.0,88000,1,0,high
"Бишкек, Кара-Жыгач ж/м 16/ул Достоевский",42.8647,74.6513,кирпичный,2021.0,3.0,3.0,1,44.0,55000,0,0,high
"Бишкек, Пишпек ж/м, Репина",42.8638,74.5503,кирпичный,2022.0,2.0,10.0,2,67.0,85000,0,0,low
"Бишкек, Магистраль,  ул. Куттубаева, 15",42.813,74.6193,кирпичный,2022.0,7.0,12.0,3,72.0,141048,0,0,low
"Бишкек, Юбилейка",42.8612,74.6071,панельный,1979.0,8.0,9.0,3,68.0,99000,1,0,high
"Бишкек, Центральная мечеть",42.8662,74.6202,панельный,1992.0,5.0,5.0,2,43.0,73500,1,0,high
"Бишкек, Горького - Алма-Атинская,  ул.7-Апреля/ Горького (р/н ТРЦ «Технопарк»)",42.8581,74.6339,монолитный,2025.0,3.0,16.0,2,74.55,78000,0,1,low
"Бишкек, Кок-Жар ж/м/ахунбаева",42.8413,74.6403,кирпичный,2022.0,3.0,9.0,3,67.0,83000,0,1,low
"Бишкек, Джал-23 м-н (Нижний Джал)",42.8433,74.5662,панельный,1992.0,9.0,9.0,2,64.0,78500,1,0,high
"Бишкек, с. Кок-Джар, АЛМАТИНКА ГОРЬКИЙ",42.8321,74.6421,монолитный,2023.0,1.0,9.0,1,26.0,47500,0,0,low
"Бишкек, АУЦА, напротив мкрн. Асанбай",42.8113,74.6294,монолитный,2023.0,4.0,5.0,5,182.0,291200,0,1,low
"Бишкек, Тунгуч м-н",42.8536,74.6878,панельный,1992.0,1.0,9.0,1,35.0,56500,1,0,high
"Бишкек, КНУ, К. Акиева/Жумабека",42.8833,74.5786,монолитный,2020.0,6.0,10.0,3,64.0,110000,0,0,low
"Бишкек, 8 м-н, 8-й микрорайон, 14",42.8342,74.613,монолитный,1970.0,2.0,4.0,3,58.0,94000,1,0,high
"Бишкек, Военторг, Манасчы Сагынбая 168",42.8716,74.5945,монолитный,2025.0,12.0,16.0,3,103.0,132295,0,1,low
"Бишкек, Магистраль, Токомбаева 29",42.8228,74.6123,монолитный,2020.0,8.0,8.0,2,51.0,73950,0,1,low
"Бишкек, Арча-Бешик ж/м",42.8324,74.5509,кирпичный,2022.0,13.0,14.0,2,62.0,73000,0,1,low
"Бишкек, 6 м-н, Каралаева 12/1",42.8254,74.6307,панельный,1992.0,6.0,9.0,3,72.0,115000,1,0,high
"Бишкек, с. Кок-Джар,  ул.Арашан 10",42.8171,74.649,монолитный,2025.0,5.0,12.0,1,50.0,50000,0,1,low
"Бишкек, Магистраль, просп. Ч. Айтматова 299/3",42.825,74.5823,монолитный,2022.0,9.0,9.0,4,142.3,281200,0,1,low
"Бишкек, Улан м-н, Алматинка/Ахунбаева",42.8433,74.6349,панельный,1997.0,9.0,9.0,3,70.0,110000,1,0,high
"Бишкек, Таатан",42.88,74.6563,кирпичный,2022.0,3.0,4.0,2,56.0,50000,0,0,mid
"Бишкек, Магистраль, Байтик Баатыра/Токомбаева",42.818,74.6088,монолитный,2024.0,14.0,16.0,1,45.39,55000,0,1,low
"Бишкек, Госрегистр, пр. Чингиза Айтматова 4",42.8626,74.5883,монолитный,2023.0,6.0,12.0,1,38.0,75000,0,0,low
"Бишкек, Джальская больница,  ул. Айни 95",42.8489,74.5704,монолитный,2023.0,13.0,13.0,4,63.0,98500,0,0,low
"Бишкек, Асанбай м-н, Асанбай мкр., 38",42.8172,74.6277,панельный,1990.0,5.0,5.0,2,48.0,65000,1,0,high
"Бишкек, Цирк/Дворец бракосочетания, Шопокова, 126",42.8823,74.6143,монолитный,2026.0,11.0,18.0,3,118.0,153400,0,0,mid
"Бишкек, VEFA, Кулатова/Элебаева",42.8592,74.6134,монолитный,2022.0,15.0,16.0,3,86.0,143000,0,0,low
"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",42.8195,74.6155,монолитный,2023.0,9.0,12.0,4,125.0,245000,0,0,low
"Бишкек, АЮ Grand, мкр. Тунгуч",42.8548,74.6766,монолитный,2023.0,11.0,13.0,2,67.0,72000,0,1,low
"Бишкек, 10 м-н",42.831,74.6044,панельный,1992.0,4.0,5.0,2,50.0,84000,1,0,high
"Бишкек, КНУ, Тимирязева/Жумабека",42.884,74.581,монолитный,2022.0,4.0,16.0,1,40.0,72500,0,0,low
"Бишкек, Магистраль,  ул. Куттубаева, 15",42.8138,74.6191,монолитный,2023.0,11.0,12.0,1,32.0,42000,0,1,low
"Бишкек, Магистраль, Куттубаева/Южн. Магистраль",42.8113,74.6221,монолитный,2023.0,10.0,14.0,1,49.63,52000,0,1,low
"Бишкек, Джал-23 м-н (Нижний Джал)",42.8434,74.5672,кирпичный,2022.0,2.0,10.0,1,47.0,75000,0,0,low
"Бишкек, Магистраль, Б.Баатыра/А.Токомбаева",42.8215,74.6054,монолитный,2025.0,12.0,25.0,2,82.0,110700,0,1,low
"Бишкек, АУЦА, Токомбаева",42.8126,74.6253,кирпичный,2011.0,4.0,4.0,2,97.0,105000,0,0,mid
"Бишкек, Ден Сяопина - Фучика, Дэн Сяопина 23/Дэн Сяопина 25",42.8778,74.5568,монолитный,2024.0,9.0,11.0,2,73.0,67000,0,1,low
"Бишкек, Пишпек ж/м",42.8531,74.5478,кирпичный,2022.0,9.0,12.0,1,46.0,48800,0,1,low
"Бишкек, Магистраль, Малдыбаева 279",42.8248,74.5976,монолитный,2022.0,6.0,13.0,4,190.0,550000,0,0,low
"Бишкек, Кок-Жар ж/м, Шабдан Баатыра/Медерова",42.8522,74.635,монолитный,2020.0,10.0,12.0,2,53.0,72000,0,0,low
"Бишкек, ЦУМ, Киевская/Тыныстанова",42.8739,74.6096,монолитный,2018.0,9.0,19.0,3,69.0,160000,0,0,low
"Бишкек, АЮ Grand, Ауэзова, 5",42.8575,74.6878,кирпичный,2026.0,16.0,16.0,3,92.23,88000,0,0,mid
"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",42.8188,74.6162,монолитный,2021.0,10.0,10.0,3,100.0,210000,0,0,low
"Бишкек, Матросова, Суванбердиева 110",42.8463,74.6173,монолитный,2023.0,12.0,12.0,1,43.0,65000,0,0,low
"Бишкек, Магистраль, Аалы Токомбаева улица 15/3/Токомбаева",42.8131,74.62,монолитный,2022.0,4.0,10.0,3,112.3,185000,0,1,low
"Бишкек, 11 м-н,",42.8198,74.6342,монолитный,2028.0,13.0,18.0,1,58.44,64500,0,1,low
"Бишкек, Магистраль, Байтик Баатыра/Южная Магистраль",42.819,74.6167,монолитный,2022.0,2.0,14.0,3,100.0,170000,0,0,low
"Бишкек, Гагарина,  ул.Поваринская, мкр. Джал",42.8474,74.5671,монолитный,2023.0,7.0,16.0,2,59.0,85000,0,0,low
"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",42.8172,74.6171,монолитный,2022.0,9.0,10.0,3,76.63,133000,0,0,low
"Бишкек, Горького - Алма-Атинская, Горького-7-апреля 5",42.8566,74.6386,монолитный,2023.0,9.0,10.0,1,26.0,43000,0,0,low
"Бишкек, Магистраль, Токомбаева 29/5",42.8239,74.6134,монолитный,2017.0,7.0,12.0,1,48.0,66000,0,0,low
"Бишкек, Ден Сяопина - Фучика",42.8791,74.5453,кирпичный,2024.0,5.0,5.0,1,45.0,40000,0,1,low
"Бишкек, Центральная мечеть 7",42.8684,74.6185,панельный,1968.0,2.0,5.0,3,68.5,98000,1,0,high
"Бишкек, Магистраль, Сухэ Батора/Токомбаева",42.8213,74.6168,кирпичный,2022.0,7.0,14.0,3,92.0,101200,0,1,low
"Бишкек, Улан-2 м-н",42.8442,74.6318,панельный,1992.0,5.0,10.0,2,57.0,75500,1,0,high
"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",42.8566,74.6386,монолитный,2024.0,9.0,9.0,1,51.0,67500,0,0,low
"Бишкек, 5 м-н",42.8314,74.6257,панельный,1992.0,2.0,5.0,1,32.0,60500,1,0,high
"Бишкек, Мадина,  ул. 7 апреля/Мамбетова",42.8689,74.6377,монолитный,2022.0,16.0,16.0,1,50.0,54500,0,1,low
"Бишкек, Центральная мечеть",42.8711,74.6198,панельный,1992.0,4.0,5.0,2,50.0,86500,1,0,high
"Бишкек, Тунгуч м-н",42.8543,74.6862,кирпичный,2022.0,9.0,10.0,1,40.0,52000,0,0,mid
"Бишкек, 5 м-н, 5 микрорайон 72/1/Ф.Шопена",42.8299,74.6276,монолитный,2023.0,9.0,9.0,1,35.0,57500,0,0,high
"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",42.8195,74.6155,монолитный,2019.0,4.0,12.0,2,77.0,164000,0,0,low
"Бишкек, Старый аэропорт",42.8403,74.5795,монолитный,2023.0,3.0,9.0,2,64.0,85000,0,1,low
"Бишкек, Горького - Алма-Атинская",42.861,74.6353,кирпичный,2022.0,2.0,14.0,1,45.0,52000,0,1,low
"Бишкек, Политех",42.8418,74.5827,кирпичный,2022.0,9.0,10.0,3,240.0,168000,0,1,low
"Бишкек, Магистраль,  ул. Куттубаева, 15",42.8175,74.6179,монолитный,2023.0,12.0,14.0,3,102.17,76000,0,1,low
"Бишкек, Джальская больница, Островская 136а/Айни",42.8496,74.5755,кирпичный,2026.0,16.0,17.0,1,45.0,54000,0,1,low
"Бишкек, Горького - Панфилова, Фатьянова",42.8547,74.6049,кирпичный,2022.0,3.0,9.0,2,90.0,121000,0,0,low
"Бишкек, Средний Джал м-н, Тыналиева",42.8375,74.5677,панельный,1992.0,9.0,9.0,3,80.0,109500,1,0,high
"Бишкек, Магистраль, пр. Ч. Айтматова",42.8277,74.586,монолитный,2021.0,8.0,14.0,3,97.0,130000,0,1,low
"Бишкек, Тунгуч м-н",42.855,74.6879,панельный,1990.0,9.0,9.0,3,63.0,80500,1,0,high
"Бишкек, Магистраль, Байтик-Баатыра/А. Токомбаева",42.8192,74.6031,монолитный,2022.0,8.0,14.0,3,104.0,195000,0,0,low
