address,lat,lon,offer_type,series,building_material,build_year,floor,total_floors,rooms,area_total,area_living,condition,usd_price
"Бишкек, Ген прокуратура,  ул. Ташкумырская, 2/2",42.8406,74.5892,от собственника,элитка,кирпичный,2025.0,11.0,13.0,1,47.4,47.4,под самоотделку (псо),78700
"Бишкек, Ак Эмир рынок, Московская 64/Шопокова",42.8689,74.6159,от собственника,105 серия,панельный,,9.0,9.0,3,64.0,,евроремонт,98000
"Бишкек, Кок-Жар ж/м, Молдокулова, 100",42.8525,74.6419,от агента,105 серия,панельный,2021.0,2.0,9.0,2,51.0,31.0,,78000
"Бишкек, Московская - Уметалиева, Боконбаева/Калык Акиева",42.8677,74.5774,от агента,элитка,кирпичный,2020.0,9.0,14.0,3,108.0,,евроремонт,125000
"Бишкек, Джальская больница, Островская 136а/Айни",42.8496,74.5755,от агента,элитка,кирпичный,2026.0,9.0,17.0,3,97.0,,под самоотделку (псо),111550
"Бишкек, Магистраль, Байтик-Баатыра/А. Токомбаева",42.8192,74.6031,от агента,элитка,монолитный,2022.0,12.0,14.0,2,82.77,,под самоотделку (псо),111740
"Бишкек, Магистраль, Сухэ Батора/Южная Магистраль",42.8217,74.6172,от агента,элитка,монолитный,2022.0,8.0,12.0,2,82.0,,под самоотделку (псо),90200
"Бишкек, Магистраль, Сухэ Батора",42.8219,74.6172,от агента,элитка,кирпичный,2022.0,2.0,12.0,2,82.0,,под самоотделку (псо),98500
"Бишкек, Молодая Гвардия, М. Сагынбая 290/К. Акиева",42.8745,74.577,от агента,элитка,монолитный,2021.0,9.0,9.0,1,42.0,,евроремонт,69000
"Бишкек, Карла Маркса,  ул. Юнусалиева, пер.Карасаева",42.8551,74.624,от агента,элитка,монолитный,2025.0,8.0,15.0,2,53.4,,под самоотделку (псо),80000
"Бишкек, Карла Маркса,  ул. Юнусалиева, пер.Карасаева",42.8551,74.624,от агента,элитка,монолитный,2025.0,12.0,15.0,3,98.0,,под самоотделку (псо),132300
"Бишкек, Джальская больница, Тыналиева 2/21",42.845,74.5689,от агента,элитка,монолитный,2019.0,11.0,14.0,4,182.0,,хорошее,350000
"Бишкек, Магистраль,  ул. А. Малдыбаева 277 (пер. ул. А. Масалиева)",42.825,74.5974,от агента,элитка,монолитный,2025.0,6.0,20.0,3,110.6,,под самоотделку (псо),132609
"Бишкек, Магистраль, Куттубаева/Южная Магистраль",42.8163,74.6224,от агента,элитка,монолитный,2022.0,14.0,14.0,3,100.13,,под самоотделку (псо),74000
"Бишкек, Ак Эмир рынок, Жоомарта Боконбаева, 61",42.8668,74.6138,от агента,индивид. планировка,кирпичный,1983.0,2.0,5.0,4,136.0,70.0,,195000
"Бишкек, Ак-Орго ж/м",42.8448,74.5197,от собственника,элитка,кирпичный,,3.0,10.0,1,40.0,,евроремонт,57500
"Бишкек, Молодая Гвардия/Боконбаева",42.8694,74.5732,от агента,104 серия улучшенная,панельный,,5.0,5.0,3,59.0,,евроремонт,82000
"Бишкек, Аламедин-1 м-н 64",42.8779,74.6892,от агента,105 серия улучшенная,панельный,,4.0,5.0,2,50.0,,евроремонт,72000
"Бишкек, АЮ Grand, Исакеева 2",42.8587,74.6817,от агента,элитка,монолитный,,1.0,8.0,2,74.0,,евроремонт,85000
"Бишкек, КНУ, Профессора Зимы, 32",42.8876,74.5899,от агента,индивид. планировка,монолитный,2015.0,2.0,3.0,1,24.2,21.7,,38200
"Бишкек, Арча-Бешик ж/м",42.8276,74.5631,от агента,индивид. планировка,кирпичный,,1.0,3.0,3,77.0,,евроремонт,94500
"Бишкек, Кок-Жар ж/м,  ул. 7 Апреля / Молдокулова",42.8353,74.6413,от собственника,элитка,монолитный,2023.0,8.0,14.0,1,48.3,30.0,евроремонт,87000
"Бишкек, Магистраль, Б. Баатыра / А. Токомбаева",42.8181,74.6031,от агента,элитка,монолитный,2024.0,7.0,12.0,1,42.0,,евроремонт,67500
"Бишкек, Тунгуч м-н, микрорайон Тунгуч, 36",42.8546,74.6865,от агента,106 серия,панельный,1990.0,5.0,5.0,3,70.0,45.0,,82000
"Бишкек, Магистраль, Аалы Токомбаева 15/7 2 блок/Южн. Магистраль",42.8118,74.6217,от собственника,элитка,кирпичный,2024.0,4.0,10.0,2,53.0,53.0,хорошее,85000
"Бишкек, Кок-Жар ж/м, Молдокулова/Медерова",42.8517,74.6416,от агента,108 серия,панельный,2021.0,8.0,9.0,1,50.0,,евроремонт,73000
"Бишкек, 3 м-н, Ахунбаева/Алматинка",42.8402,74.6162,от агента,элитка,кирпичный,,4.0,9.0,2,44.0,,евроремонт,75000
"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",42.8172,74.6058,от агента,элитка,монолитный,2022.0,2.0,9.0,3,80.0,,евроремонт,167000
"Бишкек, АЮ Grand, мкр. Тунгуч",42.8541,74.6777,от агента,элитка,монолитный,2023.0,12.0,13.0,1,48.0,,под самоотделку (псо),50000
"Бишкек, Горького - Алма-Атинская,  ул. 7 Апреля (Алматинка/Горького)",42.8581,74.6338,от агента,элитка,монолитный,2025.0,12.0,14.0,2,67.0,,под самоотделку (псо),60000
"Бишкек, Магистраль,  ул. Куттубаева, 15",42.8138,74.6191,от собственника,элитка,монолитный,2023.0,3.0,12.0,2,64.0,,евроремонт,110000
"Бишкек, Магистраль",42.8136,74.6266,от агента,элитка,кирпичный,,4.0,10.0,2,57.0,,евроремонт,98000
"Бишкек, Ала-Арча ж/м, Сухэ батора/Юж. Магистраль",42.8085,74.5992,от агента,индивид. планировка,монолитный,2025.0,13.0,14.0,2,87.0,,под самоотделку (псо),95800
"Бишкек, Магистраль, Асанбай, Сухэ-Батора",42.8189,74.6133,от агента,элитка,монолитный,2022.0,11.0,16.0,3,105.0,,евроремонт,230000
"Бишкек, с. Кок-Джар",42.8072,74.6585,от агента,индивид. планировка,кирпичный,,2.0,2.0,6,211.0,,евроремонт,240000
"Бишкек, с. Кок-Джар, мкр. Кок Жар",42.8206,74.649,от агента,элитка,монолитный,2023.0,12.0,14.0,2,62.0,,евроремонт,89000
"Бишкек, Аламедин-1 м-н",42.8766,74.688,от агента,105 серия,панельный,,5.0,5.0,5,88.0,,евроремонт,125000
"Бишкек, Тунгуч м-н",42.8538,74.6882,от агента,105 серия,панельный,,2.0,9.0,1,35.0,,хорошее,55500
"Бишкек, VEFA, Байтик-Баатыра 37",42.8552,74.6107,от агента,элитка,монолитный,2016.0,3.0,15.0,2,103.0,,евроремонт,133000
"Бишкек, Магистраль, Токомбаева-Сухэ-батора",42.8191,74.6129,от агента,элитка,монолитный,2024.0,6.0,18.0,2,86.0,,под самоотделку (псо),127280
"Бишкек, Карагачевая роща",42.9007,74.6273,от агента,элитка,монолитный,2020.0,1.0,5.0,2,55.0,,евроремонт,65000
"Бишкек, Магистраль, Жукеева-Пудовкина/Аалы Токомбаева",42.8239,74.612,от собственника,элитка,монолитный,2026.0,5.0,16.0,3,87.0,,не достроено,130500
"Бишкек, Кок-Жар ж/м, Шабдан-Баатыра и Чар.",42.8508,74.6356,от агента,элитка,монолитный,2024.0,8.0,13.0,1,46.0,,под самоотделку (псо),57000
"Бишкек, Магистраль, Куттубаева/Южн. Магистраль",42.8113,74.6221,от агента,элитка,монолитный,2023.0,8.0,10.0,1,42.0,,хорошее,65000
"Бишкек, Политех, Ажыбек Баатыра, 10",42.841,74.5823,от агента,индивид. планировка,кирпичный,2019.0,8.0,12.0,2,54.8,31.0,,130000
"Бишкек, Военторг, Манасчы Сагынбая 168",42.8716,74.5945,от агента,элитка,кирпичный,2025.0,15.0,16.0,2,72.0,,под самоотделку (псо),93600
"Бишкек, Магистраль, Куттубаева/Южная Магистраль",42.8161,74.6228,от агента,элитка,монолитный,2022.0,14.0,15.0,1,37.0,37.0,под самоотделку (псо),47000
"Бишкек, Джал-29 м-н, Садырбаева 258а",42.8306,74.5657,от агента,элитка,монолитный,2023.0,9.0,12.0,3,62.0,,под самоотделку (псо),86500
"Бишкек, Московская - Уметалиева",42.8698,74.5839,от агента,индивид. планировка,кирпичный,,4.0,5.0,3,77.0,,хорошее,91000
"Бишкек, с. Пригородное, юбилейная",42.9023,74.5507,от агента,104 серия,панельный,,1.0,3.0,3,58.0,,среднее,49800
"Бишкек, с. Кок-Джар, мкр. Кок Жар",42.8206,74.649,от агента,элитка,монолитный,2023.0,10.0,14.0,2,46.0,,евроремонт,67000
"Бишкек, Аламедин-1 м-н",42.877,74.6856,от агента,106 серия,монолитный,,1.0,9.0,5,100.0,,евроремонт,138000
"Бишкек, Горького - Алма-Атинская, 7 апреля 1/1/Горького",42.8585,74.6315,от агента,элитка,кирпичный,2025.0,10.0,10.0,1,48.59,,под самоотделку (псо),55200
"Бишкек, Филармония, Киевская/Манаса",42.8764,74.5883,от агента,индивид. планировка,кирпичный,1980.0,3.0,5.0,2,46.0,,хорошее,80000
"Бишкек, Московская - Уметалиева, Чокморова, 219",42.8695,74.5784,от агента,104 серия,панельный,1975.0,3.0,5.0,3,58.0,44.0,,94500
"Бишкек, 12 м-н",42.8137,74.6366,от агента,105 серия,панельный,1990.0,1.0,5.0,2,48.0,30.0,хорошее,75500
"Бишкек, Горького - Алма-Атинская,  ул. 7 Апреля (Алматинка/Горького)",42.8581,74.6338,от агента,элитка,монолитный,2025.0,11.0,14.0,1,49.0,,под самоотделку (псо),55000
"Бишкек, VEFA, Кулатова/Элебаева",42.8592,74.6134,от агента,элитка,монолитный,2022.0,13.0,13.0,2,65.0,,евроремонт,120000
"Бишкек, Ипподром, Термечикова/Л.Толстого",42.8649,74.5548,от агента,индивид. планировка,кирпичный,,2.0,5.0,2,51.0,,хорошее,58000
"Бишкек, Карпинка",42.8732,74.6241,от собственника,элитка,кирпичный,,4.0,12.0,1,45.0,,под самоотделку (псо),62000
"Бишкек, Магистраль, просп. Айтматова / ул. Масалиева",42.8191,74.5857,от агента,элитка,монолитный,2021.0,10.0,14.0,4,181.0,,под самоотделку (псо),280550
"Бишкек, Московская - Белинка, Керимбекова, 13",42.8671,74.5903,от агента,индивид. планировка,кирпичный,2013.0,10.0,11.0,3,204.0,159.4,,270000
"Бишкек, Магистраль, Магистраль/Сухэ Батора",42.8228,74.6152,от агента,элитка,монолитный,2022.0,2.0,16.0,2,67.0,,евроремонт,116000
"Бишкек, Горького - Алма-Атинская, Горького",42.8568,74.6308,от агента,элитка,кирпичный,2024.0,10.0,14.0,2,81.0,,под самоотделку (псо),78975
"Бишкек, Верхний Джал м-н, Тыналиева",42.8351,74.5681,от собственника,индивид. планировка,панельный,1998.0,7.0,9.0,4,106.0,90.0,евроремонт,127000
"Бишкек, Золотой квадрат, Панфилова-Московская 165/Московская",42.8689,74.6011,от собственника,элитка,монолитный,2024.0,9.0,10.0,2,74.0,55.0,под самоотделку (псо),122500
"Бишкек, Джальская больница,  ул.Айни 73а",42.8487,74.574,от агента,элитка,монолитный,2025.0,7.0,12.0,3,119.0,,под самоотделку (псо),124950
"Бишкек, Ак-Орго ж/м, Таттыбубу Турсунбаева 2а",42.8451,74.5207,от агента,элитка,монолитный,2026.0,5.0,10.0,1,40.78,,под самоотделку (псо),40780
"Бишкек, Октябрьский район, Саякбая Каралаева, 40",42.8295,74.6329,от агента,индивид. планировка,кирпичный,2017.0,7.0,12.0,2,64.0,30.8,,109000
"Бишкек, 12 м-н",42.8155,74.6346,от агента,элитка,кирпичный,,9.0,13.0,3,111.0,,евроремонт,195000
"Бишкек, Магистраль, Ч. Айтматова/Масалиева",42.8246,74.5909,от агента,108 серия,монолитный,2023.0,4.0,9.0,1,48.0,,евроремонт,80000
"Бишкек, 5 м-н, 5 мкр",42.8286,74.6239,от агента,104 серия,кирпичный,,1.0,5.0,3,58.0,,хорошее,98500
"Бишкек, Магистраль, Ч. Айтматова/Масалиева",42.8249,74.591,от агента,108 серия,монолитный,2022.0,1.0,9.0,1,48.0,,евроремонт,76500
"Бишкек, 11 м-н",42.8183,74.6317,от агента,104 серия,кирпичный,,1.0,4.0,1,35.0,,среднее,67000
"Бишкек, Московская - Уметалиева, Уметалиева 91/Киевская",42.8751,74.5817,от агента,элитка,кирпичный,,14.0,14.0,2,63.0,,евроремонт,105000
"Бишкек, Восток-5 м-н, Чынара",42.8722,74.6313,от агента,элитка,кирпичный,,9.0,17.0,3,116.0,,под самоотделку (псо),115000
"Бишкек, Ак Кеме, Чынгыза Айтматова пр-т, 93",42.836,74.585,от агента,индивид. планировка,кирпичный,2015.0,6.0,14.0,3,106.4,69.5,,250000
"Бишкек, Мед. академия, Абая 58/4",42.8446,74.6034,от собственника,элитка,кирпичный,,9.0,12.0,2,56.0,,хорошее,95000
"Бишкек, Магистраль, Асанбай, Сухэ-Батора",42.8183,74.6125,от агента,элитка,монолитный,2022.0,12.0,16.0,3,104.24,,евроремонт,209000
"Бишкек, Ипподром, Л. Толстого 126",42.8641,74.558,от агента,элитка,кирпичный,2025.0,11.0,17.0,3,96.0,,под самоотделку (псо),88320
"Бишкек, 8 м-н",42.8286,74.6081,от агента,индивид. планировка,монолитный,,4.0,5.0,2,65.0,,хорошее,97000
"Бишкек, Магистраль,  ул. Куттубаева, 15",42.8138,74.6191,от агента,элитка,монолитный,2023.0,6.0,12.0,1,41.16,,евроремонт,72500
"Бишкек, Старый аэропорт, Ажыбек Баатыра, 3",42.8404,74.58,от агента,индивид. планировка,кирпичный,2018.0,7.0,10.0,2,68.0,15.0,,118000
"Бишкек, Цирк/Дворец бракосочетания",42.8825,74.6108,от агента,индивид. планировка,кирпичный,,7.0,7.0,5,125.0,,хорошее,215000
"Бишкек, Центральная мечеть, гоголя московская",42.8662,74.6208,от агента,105 серия,кирпичный,1970.0,4.0,5.0,2,48.0,,среднее,81500
"Бишкек, Мед. академия, Ахунбаева 96а",42.8424,74.6033,от агента,хрущевка,кирпичный,,1.0,5.0,2,42.0,,хорошее,63500
"Бишкек, Горького - Алма-Атинская, Горького/Алматинка",42.8568,74.6308,от агента,элитка,монолитный,2024.0,13.0,14.0,2,82.0,,под самоотделку (псо),64000
"Бишкек, Тунгуч м-н",42.8541,74.6847,от агента,105 серия,панельный,,5.0,9.0,3,62.0,,хорошее,83500
"Бишкек, Магистраль, с. Орто-Сай, контур 13",42.8134,74.599,от агента,элитка,монолитный,2027.0,2.0,9.0,3,131.15,,под самоотделку (псо),200000
"Бишкек, Кудайберген, волковой",42.8784,74.5174,от агента,хрущевка,кирпичный,1969.0,1.0,2.0,2,43.0,,хорошее,51500
"Бишкек, Магистраль, Куттубаева/Южная Магистраль",42.8161,74.6228,от агента,элитка,монолитный,2022.0,10.0,12.0,2,64.0,,евроремонт,105000
"Бишкек, Ынтымак ж/м,  ул. Азия 12",42.8114,74.5719,от агента,элитка,кирпичный,2026.0,4.0,6.0,2,83.0,,под самоотделку (псо),111105
"Бишкек, Чуй - Алматинка",42.8755,74.6329,от агента,104 серия,панельный,,3.0,5.0,3,58.0,,хорошее,88000
"Бишкек, Кара-Жыгач ж/м 16/ул Достоевский",42.8647,74.6513,от собственника,106 серия,кирпичный,2021.0,3.0,3.0,1,44.0,,евроремонт,55000
"Бишкек, Пишпек ж/м, Репина",42.8638,74.5503,от агента,элитка,кирпичный,,2.0,10.0,2,67.0,,евроремонт,85000
"Бишкек, Магистраль,  ул. Куттубаева, 15",42.813,74.6193,от агента,элитка,кирпичный,,7.0,12.0,3,72.0,,евроремонт,141048
"Бишкек, Юбилейка",42.8612,74.6071,от собственника,105 серия,панельный,1979.0,8.0,9.0,3,68.0,,хорошее,99000
"Бишкек, Центральная мечеть",42.8662,74.6202,от агента,104 серия,панельный,,5.0,5.0,2,43.0,30.0,хорошее,73500
"Бишкек, Горького - Алма-Атинская,  ул.7-Апреля/ Горького (р/н ТРЦ «Технопарк»)",42.8581,74.6339,от агента,элитка,монолитный,2025.0,3.0,16.0,2,74.55,74.55,под самоотделку (псо),78000
"Бишкек, Кок-Жар ж/м/ахунбаева",42.8413,74.6403,от агента,106 серия улучшенная,кирпичный,2022.0,3.0,9.0,3,67.0,50.0,под самоотделку (псо),83000
"Бишкек, Джал-23 м-н (Нижний Джал)",42.8433,74.5662,от агента,106 серия,панельный,,9.0,9.0,2,64.0,,хорошее,78500
"Бишкек, с. Кок-Джар, АЛМАТИНКА ГОРЬКИЙ",42.8321,74.6421,от агента,106 серия улучшенная,монолитный,,1.0,9.0,1,26.0,,среднее,47500
"Бишкек, АУЦА, напротив мкрн. Асанбай",42.8113,74.6294,от агента,элитка,монолитный,2023.0,4.0,5.0,5,182.0,,под самоотделку (псо),291200
"Бишкек, Тунгуч м-н",42.8536,74.6878,от агента,106 серия,панельный,,1.0,9.0,1,35.0,,хорошее,56500
"Бишкек, КНУ, К. Акиева/Жумабека",42.8833,74.5786,от агента,элитка,монолитный,2020.0,6.0,10.0,3,64.0,,евроремонт,110000
"Бишкек, 8 м-н, 8-й микрорайон, 14",42.8342,74.613,от агента,104 серия,монолитный,1970.0,2.0,4.0,3,58.0,43.0,,94000
"Бишкек, Военторг, Манасчы Сагынбая 168",42.8716,74.5945,от агента,элитка,монолитный,2025.0,12.0,16.0,3,103.0,,под самоотделку (псо),132295
"Бишкек, Магистраль, Токомбаева 29",42.8228,74.6123,от агента,элитка,монолитный,2020.0,8.0,8.0,2,51.0,,под самоотделку (псо),73950
"Бишкек, Арча-Бешик ж/м",42.8324,74.5509,от агента,элитка,кирпичный,,13.0,14.0,2,62.0,,под самоотделку (псо),73000
"Бишкек, 6 м-н, Каралаева 12/1",42.8254,74.6307,от агента,105 серия,панельный,,6.0,9.0,3,72.0,,евроремонт,115000
"Бишкек, с. Кок-Джар,  ул.Арашан 10",42.8171,74.649,от собственника,элитка,монолитный,2025.0,5.0,12.0,1,50.0,,под самоотделку (псо),50000
"Бишкек, Магистраль, просп. Ч. Айтматова 299/3",42.825,74.5823,от агента,элитка,монолитный,2022.0,9.0,9.0,4,142.3,,под самоотделку (псо),281200
"Бишкек, Улан м-н, Алматинка/Ахунбаева",42.8433,74.6349,от собственника,106 серия,панельный,1997.0,9.0,9.0,3,70.0,,евроремонт,110000
"Бишкек, Таатан",42.88,74.6563,от агента,индивид. планировка,кирпичный,,3.0,4.0,2,56.0,,евроремонт,50000
"Бишкек, Магистраль, Байтик Баатыра/Токомбаева",42.818,74.6088,от агента,элитка,монолитный,2024.0,14.0,16.0,1,45.39,,под самоотделку (псо),55000
"Бишкек, Госрегистр, пр. Чингиза Айтматова 4",42.8626,74.5883,от агента,элитка,монолитный,,6.0,12.0,1,38.0,,евроремонт,75000
"Бишкек, Джальская больница,  ул. Айни 95",42.8489,74.5704,от агента,элитка,монолитный,2023.0,13.0,13.0,4,63.0,,евроремонт,98500
"Бишкек, Асанбай м-н, Асанбай мкр., 38",42.8172,74.6277,от агента,105 серия,панельный,1990.0,5.0,5.0,2,48.0,30.0,,65000
"Бишкек, Цирк/Дворец бракосочетания, Шопокова, 126",42.8823,74.6143,от агента,индивид. планировка,монолитный,2026.0,11.0,18.0,3,118.0,64.1,,153400
"Бишкек, VEFA, Кулатова/Элебаева",42.8592,74.6134,от агента,элитка,монолитный,2022.0,15.0,16.0,3,86.0,,евроремонт,143000
"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",42.8195,74.6155,от собственника,элитка,монолитный,2023.0,9.0,12.0,4,125.0,,евроремонт,245000
"Бишкек, АЮ Grand, мкр. Тунгуч",42.8548,74.6766,от агента,элитка,монолитный,,11.0,13.0,2,67.0,,под самоотделку (псо),72000
"Бишкек, 10 м-н",42.831,74.6044,от агента,105 серия,панельный,,4.0,5.0,2,50.0,,хорошее,84000
"Бишкек, КНУ, Тимирязева/Жумабека",42.884,74.581,от агента,элитка,монолитный,2022.0,4.0,16.0,1,40.0,,евроремонт,72500
"Бишкек, Магистраль,  ул. Куттубаева, 15",42.8138,74.6191,от агента,элитка,монолитный,2023.0,11.0,12.0,1,32.0,,под самоотделку (псо),42000
"Бишкек, Магистраль, Куттубаева/Южн. Магистраль",42.8113,74.6221,от агента,элитка,монолитный,2023.0,10.0,14.0,1,49.63,,под самоотделку (псо),52000
"Бишкек, Джал-23 м-н (Нижний Джал)",42.8434,74.5672,от агента,элитка,кирпичный,,2.0,10.0,1,47.0,,евроремонт,75000
"Бишкек, Магистраль, Б.Баатыра/А.Токомбаева",42.8215,74.6054,от собственника,элитка,монолитный,2025.0,12.0,25.0,2,82.0,,под самоотделку (псо),110700
"Бишкек, АУЦА, Токомбаева",42.8126,74.6253,от агента,индивид. планировка,кирпичный,2011.0,4.0,4.0,2,97.0,,хорошее,105000
"Бишкек, Ден Сяопина - Фучика, Дэн Сяопина 23/Дэн Сяопина 25",42.8778,74.5568,от агента,элитка,монолитный,2024.0,9.0,11.0,2,73.0,,под самоотделку (псо),67000
"Бишкек, Пишпек ж/м",42.8531,74.5478,от агента,элитка,кирпичный,,9.0,12.0,1,46.0,,под самоотделку (псо),48800
"Бишкек, Магистраль, Малдыбаева 279",42.8248,74.5976,от агента,элитка,монолитный,2022.0,6.0,13.0,4,190.0,,евроремонт,550000
"Бишкек, Кок-Жар ж/м, Шабдан Баатыра/Медерова",42.8522,74.635,от агента,элитка,монолитный,2020.0,10.0,12.0,2,53.0,,евроремонт,72000
"Бишкек, ЦУМ, Киевская/Тыныстанова",42.8739,74.6096,от агента,элитка,монолитный,2018.0,9.0,19.0,3,69.0,,евроремонт,160000
"Бишкек, АЮ Grand, Ауэзова, 5",42.8575,74.6878,от агента,индивид. планировка,кирпичный,2026.0,16.0,16.0,3,92.23,56.19,,88000
"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",42.8188,74.6162,от агента,элитка,монолитный,2021.0,10.0,10.0,3,100.0,,евроремонт,210000
"Бишкек, Матросова, Суванбердиева 110",42.8463,74.6173,от агента,элитка,монолитный,2023.0,12.0,12.0,1,43.0,,евроремонт,65000
"Бишкек, Магистраль, Аалы Токомбаева улица 15/3/Токомбаева",42.8131,74.62,от агента,элитка,монолитный,2022.0,4.0,10.0,3,112.3,,под самоотделку (псо),185000
"Бишкек, 11 м-н,",42.8198,74.6342,от агента,элитка,монолитный,2028.0,13.0,18.0,1,58.44,,не достроено,64500
